crop_path,ann_id,image_id,category_id,category_name,class_index
crops/3_2.jpg,2,3,1,person,0
crops/4_4.jpg,4,4,1,person,0
crops/6_5.jpg,5,6,1,person,0
crops/6_6.jpg,6,6,2,car,1
crops/5_7.jpg,7,5,1,person,0
crops/7_8.jpg,8,7,1,person,0
crops/7_9.jpg,9,7,1,person,0
crops/7_10.jpg,10,7,2,car,1
crops/9_11.jpg,11,9,1,person,0
crops/9_12.jpg,12,9,1,person,0
crops/9_13.jpg,13,9,1,person,0
crops/9_14.jpg,14,9,2,car,1
crops/10_15.jpg,15,10,2,car,1
crops/10_16.jpg,16,10,1,person,0
crops/15_24.jpg,24,15,1,person,0
crops/15_25.jpg,25,15,1,person,0
crops/16_26.jpg,26,16,2,car,1
crops/16_28.jpg,28,16,1,person,0
crops/16_29.jpg,29,16,1,person,0
crops/19_30.jpg,30,19,2,car,1
crops/19_31.jpg,31,19,1,person,0
crops/23_34.jpg,34,23,1,person,0
crops/25_35.jpg,35,25,1,person,0
crops/31_38.jpg,38,31,1,person,0
crops/31_39.jpg,39,31,1,person,0
crops/31_40.jpg,40,31,2,car,1
crops/31_41.jpg,41,31,2,car,1
crops/30_42.jpg,42,30,2,car,1
crops/30_43.jpg,43,30,2,car,1
crops/30_44.jpg,44,30,2,car,1
crops/30_45.jpg,45,30,1,person,0
crops/30_46.jpg,46,30,1,person,0
crops/30_47.jpg,47,30,1,person,0
crops/35_50.jpg,50,35,2,car,1
crops/35_51.jpg,51,35,1,person,0
crops/36_52.jpg,52,36,2,car,1
crops/36_53.jpg,53,36,1,person,0
crops/37_54.jpg,54,37,2,car,1
crops/37_55.jpg,55,37,1,person,0
crops/39_56.jpg,56,39,1,person,0
crops/39_57.jpg,57,39,2,car,1
crops/41_58.jpg,58,41,1,person,0
crops/41_59.jpg,59,41,1,person,0
crops/41_60.jpg,60,41,2,car,1
crops/41_61.jpg,61,41,1,person,0
crops/43_63.jpg,63,43,1,person,0
crops/43_64.jpg,64,43,2,car,1
crops/44_65.jpg,65,44,1,person,0
crops/45_66.jpg,66,45,2,car,1
crops/45_67.jpg,67,45,1,person,0
crops/49_70.jpg,70,49,1,person,0
crops/49_71.jpg,71,49,1,person,0
crops/56_74.jpg,74,56,1,person,0
crops/56_75.jpg,75,56,1,person,0
crops/57_76.jpg,76,57,1,person,0
crops/57_77.jpg,77,57,1,person,0
crops/57_78.jpg,78,57,2,car,1
crops/61_80.jpg,80,61,1,person,0
crops/61_81.jpg,81,61,1,person,0
crops/66_85.jpg,85,66,2,car,1
crops/68_86.jpg,86,68,2,car,1
crops/68_87.jpg,87,68,2,car,1
crops/68_88.jpg,88,68,1,person,0
crops/68_89.jpg,89,68,1,person,0
crops/69_90.jpg,90,69,2,car,1
crops/69_91.jpg,91,69,1,person,0
crops/70_92.jpg,92,70,1,person,0
crops/70_93.jpg,93,70,1,person,0
crops/70_94.jpg,94,70,2,car,1
crops/72_95.jpg,95,72,1,person,0
crops/72_96.jpg,96,72,1,person,0
crops/72_97.jpg,97,72,1,person,0
crops/72_98.jpg,98,72,1,person,0
crops/72_99.jpg,99,72,1,person,0
crops/73_100.jpg,100,73,1,person,0
crops/74_101.jpg,101,74,2,car,1
crops/74_102.jpg,102,74,1,person,0
crops/74_103.jpg,103,74,1,person,0
crops/74_104.jpg,104,74,1,person,0
crops/76_105.jpg,105,76,1,person,0
crops/76_106.jpg,106,76,1,person,0
crops/76_107.jpg,107,76,1,person,0
crops/80_108.jpg,108,80,1,person,0
crops/82_110.jpg,110,82,2,car,1
crops/82_111.jpg,111,82,1,person,0
crops/82_112.jpg,112,82,2,car,1
crops/84_113.jpg,113,84,2,car,1
crops/84_115.jpg,115,84,1,person,0
crops/87_116.jpg,116,87,1,person,0
crops/88_117.jpg,117,88,1,person,0
crops/89_118.jpg,118,89,1,person,0
crops/91_119.jpg,119,91,1,person,0
crops/91_120.jpg,120,91,1,person,0
crops/92_121.jpg,121,92,1,person,0
crops/92_122.jpg,122,92,2,car,1
crops/94_125.jpg,125,94,1,person,0
crops/94_126.jpg,126,94,1,person,0
crops/95_127.jpg,127,95,2,car,1
crops/96_128.jpg,128,96,2,car,1
